Page,Fold 1, Fold 2
19,2.0,4.0
21,2.0,4.0
23,2.0,6.0
25,2.0,6.0
27,2.0,8.0
29,2.0,10.0
31,2.0,12.0
33,2.0,24.0
35,2.0,24.0
37,2.0,24.0
39,2.0,24.0
41,2.0,24.0
43,2.0,24.0
45,2.0,24.0
47,2.0,24.0
49,2.0,24.0
51,2.0,26.0
53,2.0,26.0
55,4.0,26.0
57,8.0,26.0
59,10.0,28.0
61,10.0,28.0
63,10.0,28.0
65,10.0,30.0
67,10.0,32.0
69,10.0,34.0
71,6.0,36.0
73,8.0,40.0
75,8.0,40.0
77,6.0,36.0
79,10.0,34.0
81,10.0,32.0
83,10.0,30.0
85,10.0,28.0
87,10.0,28.0
89,10.0,28.0
91,8.0,26.0
93,4.0,26.0
95,2.0,26.0
97,2.0,26.0
99,2.0,24.0
101,2.0,24.0
103,2.0,24.0
105,2.0,24.0
107,2.0,24.0
109,2.0,24.0
111,2.0,24.0
113,2.0,24.0
115,2.0,18.0
117,2.0,12.0
119,2.0,10.0
121,2.0,8.0
123,2.0,6.0
125,2.0,6.0
127,2.0,4.0
129,2.0,4.0
